ad_type,start_date,end_date,created_on,lon,lat,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,currency,title,description,property_type,operation_type,price
Propiedad,2019-08-01,2019-08-14,2019-08-01,-58.363626133905434,-34.61310268652179,Capital Federal,Puerto Madero,3.0,2.0,3.0,135.0,135.0,USD,Exclusivo departamento en Venta 2 suites!!,"MULIERISExcelente departamento Premium ubicado en lujosa torre de Puerto Madero.  Palier privado con acceso por 2 ascensores de alta velocidad. Hall de entrada. Toilette de recepción. Living comedor semicircular con la mejor vista al dique y a la ciudad.  2 suites. Principal con vestidor y baño con jacuzzi doble. Segunda suite con vestidor. Vistas magníficas desde ambos dormitorios. Espaciosa cocina. Lavadero separado. El departamento cuenta con calefacción central, aire frío calor regulable por termostatos individuales ubicados en cada ambiente. 1 cochera y 1 baulera. AMENITIES Y GENERALES: Piscina climatizada in/out sobre deck. Salón de Usos Múltiples. Gimnasio, sauna, sala de relax, vestuarios. Vestuario para el personal doméstico. Sala de choferes. Car wash. Laundry. Servicio de seguridad 24 hs. Salón de Eventos para 300 personas. Consultar visita.-Matrícula CUCICBA N° 6289 Matrícula CMCPSI Nº 4805",Departamento,Venta,890000.0
Propiedad,2020-02-09,2020-02-20,2020-02-09,-58.36013,-34.613297,Capital Federal,Puerto Madero,3.0,2.0,2.0,150.0,138.0,USD,"CHATEAU PUERTO MADERO 3 AMB C/DEP,  COCH Y BAULERA","Corredor Responsable: OSCAR N. LIBERMAN - CUCICBA 1442Contacto: Matías Abraham Villalba - MLS ID # 420741087-30  <br><br>CON RENTA HASTA 31/03/2021<br><br>EL EDIFICIO MAS SEGURO DE PUERTO MADERO, EXCELENTE SERVICIO DE CONSERJERÍA QUE CUENTA CON LOS AMENITIES MAS COMPLETOS Y  EXCLUSIVOS DE LA ZONA.<br><br>Chateau de Puerto Madero, una exclusiva torre de 48 pisos, en Julieta Lanteri al 1300. A diferencia de la mayoría de los proyectos de Puerto Madero, que están volcados a inversores, éste apunta a consumidores finales. <br><br>Pisos: 48<br>Inauguración: 2009<br>Estilo: Academicismo Francés<br><br>Al ingresar a la propiedad entramos a un espacio de mucha luz y con amplia vista al parque Micaela Bastidas<br>Living comedor con balcón aterrazado a Julieta Lanteri, seguimos por el hall distribuidor tiene un placard de recepción, pasamos por un  toillete para desembocar en la suitte principal con baño en completo con hidromasaje y cómodo vestidor. <br>Para ir al segundo dormitorio en suitte, pasamos por un pasillo con un gran placard  <br>Cocina con comedor diario,  dependencia de servicio con toillete y lavadero aparte al lado del ingreso de servicio.<br>Excelente servicio de consejería<br><br>En primer subsuelo cochera y Baulera.<br> \n\n Comprá la casa que querés! No la que podés. Accedé a un préstamo por hasta el 30% del valor de esta propiedad. Simulá tu cuota en Lendar ",Departamento,Venta,1020000.0
Propiedad,2019-11-06,2019-12-23,2019-11-06,-58.3635945,-34.6048941,Capital Federal,Puerto Madero,3.0,2.0,4.0,198.0,187.0,USD,Exclusivo departamento de 2 suites más dependencias. Hermosa vista!. 2 cocheras en el destacado Madero Center,"Exclusivo departamento de 3 ambientes más dependencias de servicioInmejorable depto de muy buenas dimensionesIMPECABLESuper luminoso Excelente diseño y calidad de construcción Palier privado Toilette y placard de recepción.Gran recepción living comedor a balcón2 dormitorios en suite ambos con buen vestidor, regia carpintería interior Excelente estado de pisos, revestimientos, instalaciones y accesorios.2 cocheras y baulera.Pisos de roble americano plastificado.Dependencia de servicio cómoda con ben bañoAmplia cocina con comedor de diario amplioRegio balcón terraza al frenteSuper luminoso!Sup.TOTAL: 198 m2187m2 cubiertosCantidad de pisos:7 Cantidad de ambientes: 3 Estado: Impecable Tipo de piso: entablonado de roble americano en óptimo estadoGrupo electrógeno 3 Ascensores Calefacción: losa radiante por caldera individual Agua caliente: central Aire Acondicionado f/c central del depto, sectorizable por ambientes Màxima seguridad: 24 hs. AMENITIES: Excelente centro de esparcimiento con bar y estar, peluquería, 2 piscinas climatizadas cubiertas (una de ellas es semiolímpica), pileta descubierta. Gym. Sala de spinning. Sala para niños, salón para jóvenes, 2 Salones de Fiestas anexables con entrada independiente, microcine para 40 personas, zona de Spa con salas de masajes, sala de relax, saunas, ducha escocesa y ducha finlandesa de hombre y de mujer, vestuarios con lockers, solarium, bar de la pileta, jardín. Sala de peluquería. Laundry. Wifi. Cocheras de cortesía, Servicio de carwash.-Corredor responsable Natalia ",Departamento,Venta,1200000.0
Propiedad,2019-11-11,2020-09-03,2019-11-11,-58.363626133905434,-34.61310268652179,Capital Federal,Puerto Madero,3.0,2.0,2.0,88.0,80.0,USD,VENTA DEPARTAMENTO PLAZA MAYOR PUERTO MADERO COCHERA,"Venta de Departamento 3 AMBIENTES en Puerto Madero, Capital Federal
EDIFICIO PLAZA MAYOR

Doble entrada. una con palier privado por estacionamiento. Otra por la entrada del edificio.

1 habitación en suite con vestidor y otra habitación con balcón que dan al interno del edificio con vista espectacular.

Baño completo en el pasillo. Losa radiante individual en todo el departamento.

Living amplio con balcón aterrazado. Vista al río.

Cocina comedor

Sala de reunión en PB. Piscina. Laundry. Gimnasio. 24 hs seguridad.

Cochera en el subsuelo





AVISO LEGAL: Se hace saber que las características descriptas del inmueble publicado, calidades y cualidades constructivas y funcionales, valores de expensas, impuestos y servicios, y medidas y superficies, son aproximados y consignadas en base a datos que fueron proporcionados por el propietario y que pueden no ser exactos y/o no estar actualizados a la hora de la visualización de este aviso, pudiendo surgir discordancias con los datos que surgen de la documentación respectiva. Las medidas y superficies exactas son las que surgen de los títulos y planos legales del inmueble. Las imágenes publicadas lo son al mero efecto orientativo de las características generales y circunstancias del inmueble en el momento en que han sido tomadas, pudiendo las mismas diferir del estado y circunstancias actuales del mismo. Asimismo, los mobiliarios , accesorios, elementos, etc, que se visualicen en las imagines publicadas, no integran la oferta de venta. En todos los casos el interesado deberá realizar una visita al inmueble y efectuar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo la documentación que corresponda. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la AFIP (pedido de COTI).-



 XINTEL(ZET-ZET-1634)",Departamento,Venta,450000.0
Propiedad,2020-06-23,2020-12-31,2020-06-23,-58.36080551,-34.6101799,Capital Federal,Puerto Madero,2.0,1.0,3.0,188.0,188.0,USD,Marta Lynch  500 - .000 - Departamento en Venta,"Departamanto de 3 ambientes tipología RIO 2 dormitorios en suite. Amplio living comedor,  1 cochera. Con una inmejorable vista al Río de la Plata, frente a la Reserva Ecológica en Puerto Madero, “RENOIR, RESIDENCIAS DE ALTURA” nace para darle otra dimensión al concepto de calidad de vida. Dos torres de 41 y 49 pisos, inspiradas en la naturaleza.“RENOIR, RESIDENCIAS DE ALTURA”, se encuentra emplazado en una inmejorable ubicación en la ciudad de Buenos Aires, en Puerto Madero Este, frente al Parque Mujeres Argentinas de diez hectáreas, la Reserva Ecológica, y al Río de la Plata, su entorno estratégico lo encuentra en el medio de la zona más segura y pintoresca de la ciudad. Las vistas, literalmente. No tienen límite y no lo tendrán jamás.PILETAS DE NATACIÓN CLIMATIZADAS IN/OUT DOORGYM, SPA CON SNACK BAR Y SECTORES DE TRATAMIENTO INDIVIDUALES POR SEXO; SAUNA, BAÑO TURCO, BAÑO FINLANDÉS, DUCHA ESCOCESA, HIDROMASAJE, DUCHA VICHY, BOXES DE MASAJE.SALON DE USOS MÚLTIPLES CON SECTOR DE JUEGOS PARA NIÑOS, COCINA Y TOILETTES.JAULA DE GOLF.CANCHAS DE TENIS.PLAYÓN POLIDEPORTIVO.GUARDERÍA PARA NIÑOS.SERVICIOS DE CONSERJERÍA.HOTEL DE MUCAMAS.LAUNDRY.LAVADERO DE MASCOTAS.SALA DE CHOFERES.No dudes en consultar!!!!",Departamento,Venta,1200000.0
Propiedad,2020-04-23,2020-05-03,2020-04-23,-58.3604664,-34.6191653,Capital Federal,Puerto Madero,3.0,2.0,2.0,112.0,89.0,USD,Espléndido 3 ambientes en venta - Harbour Residences ,"Muy lindo departamento con balcón corrido aterrazado en esquina, con excelentes vistas al Norte-Este, abiertas hacia el río.El departamento cuenta con 112m2 totales. Se ingresa por pasillo (con placard de recepción) hacia el living comedor con cocina integrada, lavadero, y acceso a balcón por ambos lados.Desde el living se accede a amplio pasillo de distribución con placard adicional comunicando con los dormitorios y segundo baño completo. Dormitorio principal de buen tamaño con vestidor, baño completo en suite y salida al balcón, de 23m2. Segundo dormitorio con amplio placard.Cuenta con 1 cochera y baulera en el 2do SS.Edificio apto profesional, ubicado en Madero Harbour, complejo de usos múltiples. Harbour Residences cuenta con pileta descubierta climatizada, jacuzzi, gimnasio, sauna, business center, laundry y seguridad 24hs. ",Departamento,Venta,595000.0
Propiedad,2020-02-03,2020-09-03,2020-02-03,-58.361799,-34.617055,Capital Federal,Puerto Madero,2.0,1.0,1.0,56.0,52.0,USD,"Venta - Departamento 2 ambientes con vista al rio  - Balcón  - Piscina, Gimnasio y Sum - Puerto Madero","DESCRIPCIÓN:<br><br>-EDIFICIO ''LOS CIPRESES''.<br><br>-VISTA AL RÍO.<br><br>-VENTA DE DEPARTAMENTO DOS AMBIENTES EN LA MEJOR UBICACIÓN DE PUERTO MADERO.<br><br>-DORMITORIO.<br><br>-COCINA CON COMEDOR.<br><br>-BAÑO COMPLETO.<br><br>-BALCÓN.<br><br>-LIVING.<br><br>-AIRE ACONDICIONADO EN TODOS LOS AMBIENTES.<br><br>-LUMINOSO.<br><br><br>-AMENITIES:  JARDÍN CON DOS GRANDES PISCINAS, GIMNASIO, SUM, SEGURIDAD.<br><br>",Departamento,Venta,265000.0
Propiedad,2019-10-24,2019-12-23,2019-10-24,-58.3617076,-34.6104263,Capital Federal,Puerto Madero,3.0,2.0,4.0,212.0,212.0,USD,TORRE RENOIR 2 Nuevo ingreso!  3 SUITES   DEPENDENCIA UNICO Opcional 2da cochera ,"Torre Renoir 2 Cocheras no incluidas en el Precio () Escucha ofertas Oportunidad. (Primera Escritura) COnsultar por Unidades ya escrituradas.Excelente unidad modalidad SOLLa unidad se entrega sin terminaciones3 dormitorios en suiteToilette de recepciónAmplia cocinaLavadero independienteDoble circulación Dependencia de servicio con baño.Palier Privado con dos ascensores.BauleraOpción 1 cochera fija  Torre Renoir 2AmenitiesGym,Micro cineCavasSpa con snacks y sectores individualizados por sexoSaunaBaño turco- baño finlandés, ducha escocesa, hidromasajeBoxes de masajesPeluqueríaSum2 piletas descubiertas2 piletas cubiertasSector ParrillasHall de reunionesMiradorJaula de golfCancha de tenisCocheras de cortesíaGuardería para niñosSala de descanso para choferes y personal de seguridad de propietarios,Hotel de mucamas con vestuarios y lockers independientes, laundry . ",Departamento,Venta,1189997.0
Propiedad,2019-10-27,2019-11-04,2019-10-27,-58.364059,-34.604666,Capital Federal,Puerto Madero,3.0,2.0,3.0,185.0,175.0,USD,"EXCELENTE DEPTO 3 AMB EN EXCLUSIVO COMPLEJO ""MADERO CENTER"" VISTA AL FRENTE MUY LUMINOSO C/ 3 COCHERAS FIJAS CUBIERTAS +  BAULERA","Corredor Responsable: Mónica Silvia Martinuzzi - CUCICBA 5172Contacto: Estela Trepat - MLS ID # 420621031-56Excelente departamento de 3 amb al frente 10 años de antigüedad en exclusivo complejo ""MADERO CENTER"".<br><br>Palier privado. Toilette de recepción. Amplio living comedor con vista al frente y salida al balcón. Cocina con comedor diario. <br><br>Pisos de roble americano plastificado. Aberturas exterior doble vidrio con cámara de aire made in Germany. <br><br><br>Dos dormitorios en suite, uno de ellos con vestidor. Dependencia de servicio. Lavadero. 3 Baños completos y 1 Toilette<br><br><br>DETALLES:<br>- Agua caliente central<br>- Aire Acondicionado Central frío-calor individual por ambientes.<br>- Calefacción piso radiante por caldera individual.<br>- Seguridad 24 hs.<br>- Grupo electrógeno.<br>- Wifi.<br><br>LAS AMENITIES INCLUYEN:<br>- Piscina cubierta climatizada semiolimpica y Jacuzzi.<br>- Piscina exterior climatizada, Solárium y Jardín.<br>- Gimnasio<br>- Sala de spinning y boxeo. <br>- Microcine con capacidad para 40 personas.<br>- Sala con juegos para niños.<br>- Sala con mesa de pool, metegol, y mesa de ping-pong.<br>- Zona de Spa para damas y zona de Spa para caballeros: Saunas húmedo y seco, ducha escocesa, - ducha finlandesa y salas de relax. Salas de masajes.<br>- Sala de peluquería.<br>- SUM con capacidad para 300 personas aproximadamente y otro SUM para 80 personas. <br>- Laundry<br>- Lavadero de automóviles.<br><br>Superficie total: 185m2. Sup. Cubierta: 175 m2, Sup. Semicubierta (balcón): 10 m2<br><br>El precio publicado incluye 3 cocheras fijas cubiertas dentro del edificio +1 Baulera.<br><br>Expensas: $45.000 aprox (Septiembre 2019) - Incluyen AYSA<br><br>ESTADO GENERAL: Excelente. Listo para mudarse!<br><br>Si te interesa visitarlo, llamanos para coordinar una visita! <br>Si tenés que vender para comprar, consultanos y con gusto te asesoramos y ofrecemos una tasación sin cargo.<br><br>NO TE LO PIERDAS!!! MUDATE A LA VIDA QUE SOÑAS!! <br> \n\n Comprá la casa que querés! No la que podés. Accedé a un préstamo por hasta el 30% del valor de esta propiedad. Simulá tu cuota en Lendar ",Departamento,Venta,1050000.0
Propiedad,2019-09-03,2019-09-04,2019-09-03,-58.3602957,-34.6104972,Capital Federal,Puerto Madero,3.0,2.0,2.0,192.0,192.0,USD,TORRE RENOIR II -  Torre de máxima categoría -  Martha Lynch 551 piso altura media Sol -,"Importante depto con imponente vista a parques de la Reserva y Río  -A ESTRENAR!! Antigüedad: 1 año - Orientación: noreste - Superficie Total: 191,9 m2 - LIVING / COMEDOR, TOILETTE, 2 SUITES, ESPACIO PARA BREAKFAST, 1 DEPENDENCIA, 2 COCHERAS FIJAS, SEG. 24 HS, AMENITIES, LAUNDRY - Palier privado a 2 ascensoresLiving / comedor 8,4 x 5,4Toilette y placard de recepción1er. Dormitorio 4,5 x 4,3 (suite con baño compartimentado, doble bacha, hidro, box de ducha y vestidor grande)2do. Dormitorio 3,1 x 3,1 (suite)Cocina 5 x 3,5 con espacio para breakfastLavadero independiente 1 Dependencia con buen bañoDoble circulaciónPuerta de servicio2 COCHERAS FIJASCocheras de cortesía - Nro. de pisos: 49 - Deptos por piso: 3 - Tipo de piso: Calefacción: piso radiante - Aire Acond. Frío/Calor: por equipo central del piso - Agua caliente: central - Grupo electrógeno - 4 Ascensores para el depto. - Seguridad 24 hs - Expensas: inc. cable, internet - AMENITIES: 2 piletas (cubierta y descubierta), 2 gyms, zona de spa con saunas, duchas escocesas, jacuzzis, gran Salon de Fiestas,  Baño Turco, Baño finlandés - Hidromasaje - Steam Box, Salas de Relax Privado, Box de Masajes Aromoterapia, Osteoterapia, Reflexología, Snack bar, Sala de Gym, peluquería, jaulas de golf, canchas de tenis, guardería para niños, SUM de niños, servicio de conserjería, hoptel de mucamas, lavadero de mascotas, sala de choferesLAUNDRYPlantas equipadas con carpinterías de vidrios dobles. Se entrega SIN pisos, ni aires ni interiores de placards.",Departamento,Venta,1250000.0
Propiedad,2020-01-05,2020-02-11,2020-01-05,-58.3613050815,-34.6173838817,Capital Federal,Puerto Madero,3.0,2.0,1.0,81.0,73.0,USD,Duplex 3 ambientes al contrafrente en Puerto Madero,"Duplex 3 ambientes,  (es un depto de 2 ambientes hecho a 3),  cocina americana integrada a la sala con salida a balçon corrido. Vista abierta a los jardines. Excelente estado, amplio dormitorio principal con gran lugar de guardado y escritorio.  Dormitorio secundario más pequeño, pero muy bien aprovechado el espacio para el guardado. Muy luminoso, con muebles hechos a medida de muy buena calidad , que incluye lava vajllas. Baño completo en la Planta Alta. Toilette de recepción ; Tiene aislamiento realizado en el techo de la planta alta que lo hace muy fresco. Baulera, balcón amplio con toldo rebatible, losa radiante con control manual.Consultanos y coordinamos una visita.Actualmente con renta.Toda la información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente. Los impuestos y gastos expresados se refieren a la última información recabada y deberán confirmarse. Las fotografías no son vinculantes ni contractuales.Esta operación inmobiliaria se encuentra a cargo y es objeto de intermediación y conclusión por parte del Corredor Inmobiliario matriculado correspondiente: Agustín Amidolare CPI 7556 | Sergio Fernandez Milessi CSI 5681.",Departamento,Venta,319000.0
Propiedad,2020-05-20,2020-05-20,2020-05-20,-58.359903,-34.61809,Capital Federal,Puerto Madero,3.0,2.0,3.0,120.0,115.0,USD,NUEVO VALOR EN VENTA 3 AMB ALTISIMO! OPORTUNIDAD Complejo Zencity,"Departamento de 3 ambCocina semi integradaToilette de recepciónBalcón aterrazadoDos dormitorios en suite2 cocheras incluidas en el precio Opción venta!Esta propiedad se encuentra en el exclusivo complejo Zencity ubicado en Dique 1, delimitado por el Boulevard Juana Manso y la Av. Rosario Vera Peñaloza, en 8 manzanas, 5 de ellas frente al río. Arq. Bodas, Miani y Anger y Asociados (BMA) inspirado por diversos emprendimientos de la ciudad de Palm Beach, Miami, Estados Unidos.El complejo consiste en  la Torre Ónix, Rubí, la Ámbar y el edificio Zafiro.Ámbar y Rubi de Pb y 23 pisos Zafiro es un edificio aterrazado de planta baja y 9.Ónix combina una torre de 23 pisos con un volumen escalonado de 9 pisos.  En Zencity, el equilibrio está en todas sus áreas, residenciales y comerciales. Hay armonía en todos sus espacios, privados y comunes.  Son cuatro edificios que convergen en una gran plaza central de 8500 m2, con jardines con todo tipo de vegetación, cascadas, piscinas climatizadas, hidromasajes, y espacios para niños. Las unidades tienen desde 35 a 350 m2, y tiene 2 subsuelosPLAZA CENTRAL PARA USO PRIVADO, SOLARIUM, SPA , BAR CHILL OUT, JARDINES Y CASCADA DE AGUA, HIDROMASAJE, SALON DE USOS MULTIPLES, GIMNASIO, PISCINA CLIMATIZADA Y DE NATACION, VESTUARIOS, MICROCINE, SAUNA, LAUNDRY, ESPACIO PARA NIÑOS, BUSINESS CENTER, ZENCITY KIDS, SEGURIDAD 24HS.""Las medidas, superficies, expensas y abl consignadas en la presente son al efecto orientativo. Los datos definitivos son los que surgirán del título de la propiedad y de los comprobantes respaldatorios.”SEGUINOS EN NUESTRAS REDES!Facebook: Quicksale Inmobiliaria / Instagram: Quicksalearg",Departamento,Venta,730000.0
